DATE,CURRENT_TEMP,3_DAY_TEMP,9_DAY_TEMP,1_HOUR_WEIGHT,WEATHER,LABEL
2022-07-04:11:20,10.623075053217942,-0.04525067012250261,0,-0.23189141759251797,1,3
2022-07-04:11:30,9.107020041554645,-0.04525067012250261,0,-0.25550794513020136,1,3
2022-07-04:11:40,10.38935191474585,-0.04525067012250261,0,-0.268349860874892,1,3
2022-07-04:11:50,9.693283276031867,-0.04525067012250261,0,0.033388003133136834,1,3
2022-07-04:12:00,10.813062455215489,-0.04525067012250261,0,0.11261689477164438,1,3
2022-07-04:12:10,9.28436452661485,-0.04525067012250261,0,0.07107091318737702,1,3
2022-07-04:12:20,9.29901922410922,-0.04525067012250261,0,0.0328140839497415,1,3
2022-07-04:12:30,10.350856053738244,-0.04525067012250261,0,0.0053777066575548815,1,3
2022-07-04:12:40,9.678507471301963,-0.04525067012250261,0,-0.028463418298997567,1,3
2022-07-04:12:50,10.861243241927989,-0.04525067012250261,0,0.02245463632112532,1,3
2022-07-04:13:00,19.258480482555004,-0.04525067012250261,0,-0.017875011591414136,1,3
2022-07-04:13:10,20.232370648188798,-0.04525067012250261,0,0.12400590339249007,1,3
2022-07-04:13:20,20.59809467675896,-0.04525067012250261,0,0.24644276108742957,1,3
2022-07-04:13:30,19.431142350200926,-0.04525067012250261,0,0.08300562240625808,1,3
2022-07-04:13:40,19.940814707469958,-0.04525067012250261,0,0.05530563117050846,1,3
2022-07-04:13:50,20.421402988523948,-0.04525067012250261,0,-0.0033345755562557144,1,3
2022-07-04:14:00,20.167802686572006,-0.04525067012250261,0,0.16734664776906172,1,3
2022-07-04:14:10,20.346423743077263,-0.04525067012250261,0,-0.11187904370386192,1,3
2022-07-04:14:20,19.535937681379124,-0.04525067012250261,0,0.008734668831891668,1,3
2022-07-04:14:30,20.659560360648147,-0.04525067012250261,0,-0.1982296659393299,1,3
2022-07-04:14:40,20.619326636252175,-0.04525067012250261,0,0.2066195254939558,1,3
2022-07-04:14:50,20.083367190006516,-0.04525067012250261,0,0.010335018716073563,1,3
2022-07-04:15:00,19.887894229409824,-0.04525067012250261,0,-0.12078033990390935,1,3
2022-07-04:15:10,19.417159555827777,-0.04525067012250261,0,0.10644676290297994,1,3
2022-07-04:15:20,20.551349135819827,-0.04525067012250261,0,0.0416320320343786,1,3
2022-07-04:15:30,19.431680272317603,-0.04525067012250261,0,-0.17213896512234328,1,3
2022-07-04:15:40,20.28793577672262,-0.04525067012250261,0,-0.13768183774181608,1,3
2022-07-04:15:50,19.23050409964808,-0.04525067012250261,0,0.17697542732842209,1,3
2022-07-04:16:00,20.7699396297157,-0.04525067012250261,0,0.11491390166451154,1,3
2022-07-04:16:10,20.04299747433613,-0.04525067012250261,0,-0.11895357412639385,1,3
2022-07-04:16:20,20.463527676014802,-0.04525067012250261,0,0.20468513123897836,1,3
2022-07-04:16:30,20.232147012490774,-0.04525067012250261,0,-0.00105234033684809,1,3
2022-07-04:16:40,20.040414679224888,-0.04525067012250261,0,0.0997638669700045,1,3
2022-07-04:16:50,20.70453894533053,-0.04525067012250261,0,-0.32030033368277344,1,3
2022-07-04:17:00,19.452746429703993,-0.04525067012250261,0,0.16299701706447678,1,3
2022-07-04:17:10,19.60023971698117,-0.04525067012250261,0,-0.08084029495458012,1,3
2022-07-04:17:20,19.903838613567547,-0.04525067012250261,0,0.1555990249066248,1,3
2022-07-04:17:30,19.449043764417432,-0.04525067012250261,0,-0.15961489973564014,1,3
2022-07-04:17:40,20.62338514299218,-0.04525067012250261,0,0.33934842125541564,1,3
2022-07-04:17:50,20.007145552785463,-0.04525067012250261,0,0.22872675306995305,1,3
2022-07-04:18:00,19.274859380853528,-0.04525067012250261,0,0.04660810127070292,1,3
2022-07-04:18:10,19.390487078462748,-0.04525067012250261,0,-0.08904486927556832,1,3
2022-07-04:18:20,19.27714000864343,-0.04525067012250261,0,0.1463285999574353,1,3
2022-07-04:18:30,20.045398009800934,-0.04525067012250261,0,-0.23303466068856693,1,3
2022-07-04:18:40,19.955226772271438,-0.04525067012250261,0,-0.13791956895123292,1,3
2022-07-04:18:50,19.127970231643975,-0.04525067012250261,0,0.030087161856187095,1,3
2022-07-04:19:00,19.422940226460398,-0.04525067012250261,0,-0.06617687815061402,1,3
2022-07-04:19:10,19.669566788419793,-0.04525067012250261,0,-0.2603602225254562,1,3
2022-07-04:19:20,20.702563907652745,-0.04525067012250261,0,0.031215865827121547,1,3
2022-07-04:19:30,20.365979338645587,-0.04525067012250261,0,-0.19786279392662465,1,3
2022-07-04:19:40,19.22240642660705,-0.04525067012250261,0,-0.23176922308920922,1,3
2022-07-04:19:50,19.5142791754616,-0.04525067012250261,0,-0.21355055696723468,1,3
2022-07-04:20:00,19.71163441426272,-0.04525067012250261,0,0.12515376812838852,1,3
2022-07-04:20:10,19.59669030172006,-0.04525067012250261,0,0.1880009459559453,1,3
2022-07-04:20:20,20.781828363079104,-0.04525067012250261,0,-0.006171373416140824,1,3
2022-07-04:20:30,20.39025520431674,-0.04525067012250261,0,0.09689256159584403,1,3
2022-07-04:20:40,19.77649346861738,-0.04525067012250261,0,0.37127458064600205,1,3
2022-07-04:20:50,19.571987369398855,-0.04525067012250261,0,0.16397305775078053,1,3
2022-07-04:21:00,20.035221793461087,-0.04525067012250261,0,-0.03715308481493196,1,3
2022-07-04:21:10,20.031107293010773,-0.04525067012250261,0,0.0829938934411345,1,3
2022-07-04:21:20,19.165988299830627,-0.04525067012250261,0,-0.10549318069488578,1,3
2022-07-04:21:30,19.89512047978482,-0.04525067012250261,0,-0.12891558468352926,1,3
2022-07-04:21:40,20.238513546177092,-0.04525067012250261,0,-0.1571129125574764,1,3
2022-07-04:21:50,19.25369475405396,-0.04525067012250261,0,0.09213469767834681,1,3
2022-07-04:22:00,20.83015665322532,-0.04525067012250261,0,-0.10733257469108892,1,3
2022-07-04:22:10,20.224209685938355,-0.04525067012250261,0,0.1827387779645946,1,3
2022-07-04:22:20,20.052368632841624,-0.04525067012250261,0,-0.19824924091561513,1,3
2022-07-04:22:30,19.82350493480617,-0.04525067012250261,0,-0.08645094602260173,1,3
2022-07-04:22:40,19.122285549179164,-0.04525067012250261,0,-0.1730316688004443,1,3
2022-07-04:22:50,19.9059098467738,-0.04525067012250261,0,0.29558304643332534,1,3
2022-07-04:23:00,20.196027459609535,-0.04525067012250261,0,-0.06920101633664899,1,3
2022-07-04:23:10,20.79311248650156,-0.04525067012250261,0,-0.05648300223327851,1,3
2022-07-04:23:20,20.913503028674093,-0.04525067012250261,0,-0.07610359035163228,1,3
2022-07-04:23:30,19.31230945191009,-0.04525067012250261,0,-0.007857186975510189,1,3
